"id","topic_id","step","result"
"f9633d64-64ce-4f51-8b08-69e8ea3ef8fd","5e3f8952-3acb-45fa-8e28-b4e5ed0e3dc8","locked","ok"
"1ff7ed38-f637-41fd-8a8b-1e32aaf2b6aa","fbcc6e0e-45b8-4e93-88ab-38bb435e0ec8","reviewed","ok"
"1ff7ed38-f637-41fd-8a8b-1e32aaf2b6aa","fbcc6e0e-45b8-4e93-88ab-38bb435e0ec8","locked","ok"
"8fa85293-e7b3-49bf-b401-dd4f03a81c5e","ce23f17b-f621-46b0-bb72-fc926a0be3d4","reviewed","ok"
"8fa85293-e7b3-49bf-b401-dd4f03a81c5e","ce23f17b-f621-46b0-bb72-fc926a0be3d4","locked","ok"
"78dd72b5-0c17-4fd1-a0b6-df0d103785f6","0adcb286-28d5-4094-bb12-80f2f9e99468","reviewed","ok"
"78dd72b5-0c17-4fd1-a0b6-df0d103785f6","0adcb286-28d5-4094-bb12-80f2f9e99468","locked","ok"
"7e2e6eb5-6678-4875-b196-3f08805bf305","f4ab61e2-cadf-4686-a1c5-50554463f230","reviewed","ok"
"7e2e6eb5-6678-4875-b196-3f08805bf305","f4ab61e2-cadf-4686-a1c5-50554463f230","locked","ok"
"fa362d81-c5f8-4f5f-af37-657e947e2c3b","f0e0d76d-38ed-4b29-85db-ae678611b715","reviewed","ok"
"fa362d81-c5f8-4f5f-af37-657e947e2c3b","f0e0d76d-38ed-4b29-85db-ae678611b715","locked","ok"
"cac5ff48-9dfa-4a21-a072-532de2aa300b","a406cb7b-b61d-4987-8afe-2039eef3133b","reviewed","ok"
"cac5ff48-9dfa-4a21-a072-532de2aa300b","a406cb7b-b61d-4987-8afe-2039eef3133b","locked","ok"
"0e723b52-0cfd-4d70-9331-eb2d76b30a33","ba164b72-afb0-458f-87f4-b413e45719e7","reviewed","ok"
"0e723b52-0cfd-4d70-9331-eb2d76b30a33","ba164b72-afb0-458f-87f4-b413e45719e7","locked","ok"
"7c4e2839-49c8-4207-beee-846e9347fda7","056efd72-c34d-48ae-9c72-931959910d05","reviewed","ok"
"7c4e2839-49c8-4207-beee-846e9347fda7","056efd72-c34d-48ae-9c72-931959910d05","locked","ok"
"07d46e58-25b8-48ae-9b24-5fc28db5cf9f","8e5aa145-440d-4db7-a3f4-9ee6e4aed196","reviewed","ok"
"07d46e58-25b8-48ae-9b24-5fc28db5cf9f","8e5aa145-440d-4db7-a3f4-9ee6e4aed196","locked","ok"
"be8f4ada-b229-465a-a073-976bf30cbd0a","09bc3db4-a4ca-47ab-9172-142c1e7475f8","reviewed","ok"
"be8f4ada-b229-465a-a073-976bf30cbd0a","09bc3db4-a4ca-47ab-9172-142c1e7475f8","locked","ok"
"a6a27784-6775-4061-8fcb-1c7810142572","bf9142fc-f9fd-49e5-85ba-1431680791e5","reviewed","ok"
"a6a27784-6775-4061-8fcb-1c7810142572","bf9142fc-f9fd-49e5-85ba-1431680791e5","locked","ok"
"0ce6c16c-3ae3-4ddc-9ec1-ca21fe65c93b","10d8610d-9dbd-4f47-b301-1ed3c0d2dce6","reviewed","ok"
"0ce6c16c-3ae3-4ddc-9ec1-ca21fe65c93b","10d8610d-9dbd-4f47-b301-1ed3c0d2dce6","locked","ok"
"5ace7cde-d426-49e1-8ecc-d3d4089828a9","5dcb9305-326f-4585-af0e-4ba1cb643b26","reviewed","ok"
"5ace7cde-d426-49e1-8ecc-d3d4089828a9","5dcb9305-326f-4585-af0e-4ba1cb643b26","locked","ok"
"e7eafe9e-6216-4fec-bfb1-5483eb8052f2","59e0da65-f5f2-4f13-a76a-8ba7d06d3d15","reviewed","ok"
"e7eafe9e-6216-4fec-bfb1-5483eb8052f2","59e0da65-f5f2-4f13-a76a-8ba7d06d3d15","locked","ok"
"2ee3c8a0-15f1-4b76-9dbb-9fe9031bb650","e8fccc09-a2c9-4076-a001-ad1c2378a23f","reviewed","ok"
