file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,matched_year,matched_qno,ocr_derived
UPSCCSEMains2013GS4.json,2013,GS4,1b,1b,,93,unverifiable,52.7,2015,,false
UPSCCSEMains2013GS4.json,2013,GS4,2a,2a,,91,unverifiable,58.9,2024,,false
UPSCCSEMains2013GS4.json,2013,GS4,2b,2b,,114,unverifiable,51.9,2025,20,false
UPSCCSEMains2013GS4.json,2013,GS4,3a,3a,,110,unverifiable,54.1,2022,7,false
UPSCCSEMains2013GS4.json,2013,GS4,3b,3b,,120,unverifiable,56.0,2022,4,false
UPSCCSEMains2013GS4.json,2013,GS4,4a,4a,,133,unverifiable,51.5,2025,1,false
UPSCCSEMains2013GS4.json,2013,GS4,4b,4b,,106,unverifiable,57.1,2025,11,false
UPSCCSEMains2013GS4.json,2013,GS4,5a,5a,,118,unverifiable,51.8,2024,20,false
UPSCCSEMains2013GS4.json,2013,GS4,5b,5b,,100,unverifiable,52.2,2025,7,false
UPSCCSEMains2013GS4.json,2013,GS4,6,6,66,112,unverifiable,53.8,2025,1,false
UPSCCSEMains2013GS4.json,2013,GS4,7,7,67,155,unverifiable,55.2,2025,7,false
UPSCCSEMains2013GS4.json,2013,GS4,8,8,68,1386,unverifiable,55.6,2025,9,false
UPSCCSEMains2013GS4.json,2013,GS4,9,9,69,1367,unverifiable,55.4,2025,6,false
UPSCCSEMains2013GS4.json,2013,GS4,10,10,70,1452,unverifiable,50.0,2025,16,false
UPSCCSEMains2013GS4.json,2013,GS4,11,11,71,1533,unverifiable,52.9,2025,5,false
UPSCCSEMains2013GS4.json,2013,GS4,12,12,72,1632,unverifiable,60.0,2025,2,false
UPSCCSEMains2013GS4.json,2013,GS4,13,13,73,1686,unverifiable,80.0,2025,2,false
UPSCCSEMains2014ALL.json,2014,GS1,1,1,1,140,unverifiable,53.6,2022,7,false
UPSCCSEMains2014ALL.json,2014,GS1,2,2,2,72,unverifiable,52.9,2022,1,false
UPSCCSEMains2014ALL.json,2014,GS1,3,3,3,210,unverifiable,50.6,2025,5,false
UPSCCSEMains2014ALL.json,2014,GS1,4,4,4,106,unverifiable,50.0,2025,11,false
UPSCCSEMains2014ALL.json,2014,GS1,5,5,5,172,unverifiable,49.4,2022,2,false
UPSCCSEMains2014ALL.json,2014,GS1,6,6,6,142,unverifiable,53.9,2022,2,false
UPSCCSEMains2014ALL.json,2014,GS1,7,7,7,116,unverifiable,53.0,2015,,false
UPSCCSEMains2014ALL.json,2014,GS1,8,8,8,101,unverifiable,57.1,2022,13,false
UPSCCSEMains2014ALL.json,2014,GS1,9,9,9,101,unverifiable,55.0,2022,11,false
UPSCCSEMains2014ALL.json,2014,GS1,10,10,10,90,unverifiable,54.1,2025,9,false
UPSCCSEMains2014ALL.json,2014,GS1,11,11,11,92,unverifiable,51.6,2022,10,false
UPSCCSEMains2014ALL.json,2014,GS1,12,12,12,110,unverifiable,53.7,2015,2,false
UPSCCSEMains2014ALL.json,2014,GS1,13,13,13,83,unverifiable,54.9,2022,20,false
UPSCCSEMains2014ALL.json,2014,GS1,14,14,14,117,unverifiable,56.0,2022,15,false
UPSCCSEMains2014ALL.json,2014,GS1,15,15,15,125,unverifiable,58.5,2015,,false
UPSCCSEMains2014ALL.json,2014,GS1,16,16,16,130,unverifiable,52.7,2015,19,false
UPSCCSEMains2014ALL.json,2014,GS1,17,17,17,119,unverifiable,60.0,2022,20,false
UPSCCSEMains2014ALL.json,2014,GS1,18,18,18,135,unverifiable,53.4,2025,1,false
UPSCCSEMains2014ALL.json,2014,GS1,19,19,19,115,unverifiable,58.4,2015,,false
UPSCCSEMains2014ALL.json,2014,GS1,20,20,20,119,unverifiable,53.2,2025,14,false
UPSCCSEMains2014ALL.json,2014,GS2,21,1,21,174,unverifiable,52.1,2015,16,false
UPSCCSEMains2014ALL.json,2014,GS2,22,2,22,141,unverifiable,53.6,2024,,false
UPSCCSEMains2014ALL.json,2014,GS2,23,3,23,140,unverifiable,50.0,2022,7,false
UPSCCSEMains2014ALL.json,2014,GS2,24,4,24,117,unverifiable,60.5,2022,5,false
UPSCCSEMains2014ALL.json,2014,GS2,25,5,25,134,unverifiable,55.6,2025,12,false
UPSCCSEMains2014ALL.json,2014,GS2,26,6,26,131,unverifiable,54.3,2022,3,false
UPSCCSEMains2014ALL.json,2014,GS2,27,7,27,108,unverifiable,53.3,2022,1,false
UPSCCSEMains2014ALL.json,2014,GS2,28,8,28,128,unverifiable,54.8,2015,11,false
UPSCCSEMains2014ALL.json,2014,GS2,29,9,29,120,unverifiable,59.5,2025,17,false
UPSCCSEMains2014ALL.json,2014,GS2,30,10,30,112,unverifiable,53.2,2024,,false
