file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,ocr_derived
UPSCCSEMains2013GS2.json,2013,GS2,25,5,25,95,orphan,52.1,true
UPSCCSEMains2013GS3.json,2013,GS3,1,1,41,130,orphan,52.8,true
UPSCCSEMains2013GS3.json,2013,GS3,2,2,42,132,orphan,48.1,true
UPSCCSEMains2013GS3.json,2013,GS3,3,3,43,94,orphan,51.6,true
UPSCCSEMains2013GS3.json,2013,GS3,4,4,44,96,orphan,52.1,true
UPSCCSEMains2013GS3.json,2013,GS3,5,5,45,103,orphan,52.9,true
UPSCCSEMains2013GS3.json,2013,GS3,6,6,46,110,orphan,50.5,true
UPSCCSEMains2013GS3.json,2013,GS3,7,7,47,108,orphan,49.1,true
UPSCCSEMains2013GS3.json,2013,GS3,8,8,48,136,orphan,48.1,true
UPSCCSEMains2013GS3.json,2013,GS3,9,9,49,88,orphan,51.7,true
UPSCCSEMains2013GS3.json,2013,GS3,10,10,50,131,orphan,49.6,true
UPSCCSEMains2013GS3.json,2013,GS3,11,11,51,111,orphan,49.1,true
UPSCCSEMains2013GS3.json,2013,GS3,12,12,52,110,orphan,51.4,true
UPSCCSEMains2013GS3.json,2013,GS3,13,13,53,133,orphan,51.5,true
UPSCCSEMains2013GS3.json,2013,GS3,14,14,54,121,orphan,52.1,true
UPSCCSEMains2013GS3.json,2013,GS3,15,15,55,122,orphan,49.2,true
UPSCCSEMains2013GS3.json,2013,GS3,16,16,56,129,orphan,54.7,true
UPSCCSEMains2013GS3.json,2013,GS3,17,17,57,116,orphan,50.0,true
UPSCCSEMains2013GS3.json,2013,GS3,18,18,58,124,orphan,49.6,true
UPSCCSEMains2013GS3.json,2013,GS3,19,19,59,85,orphan,59.5,true
UPSCCSEMains2013GS3.json,2013,GS3,20,20,60,116,orphan,48.2,true
UPSCCSEMains2013GS3.json,2013,GS3,21,21,21,117,orphan,48.7,true
UPSCCSEMains2013GS3.json,2013,GS3,22,22,22,106,orphan,49.5,true
UPSCCSEMains2013GS3.json,2013,GS3,23,23,23,130,orphan,52.3,true
UPSCCSEMains2013GS3.json,2013,GS3,24,24,24,124,orphan,50.4,true
UPSCCSEMains2013GS3.json,2013,GS3,25,25,25,138,orphan,50.7,true
UPSCCSEMains2013GS4.json,2013,GS4,1a,1a,,110,orphan,54.7,true
UPSCCSEMains2013GS4.json,2013,GS4,1b,1b,,93,orphan,52.7,true
UPSCCSEMains2013GS4.json,2013,GS4,2a,2a,,91,orphan,63.3,true
UPSCCSEMains2013GS4.json,2013,GS4,2b,2b,,114,orphan,51.9,true
UPSCCSEMains2013GS4.json,2013,GS4,3a,3a,,110,orphan,50.5,true
UPSCCSEMains2013GS4.json,2013,GS4,3b,3b,,120,orphan,56.0,true
UPSCCSEMains2013GS4.json,2013,GS4,4a,4a,,133,orphan,51.5,true
UPSCCSEMains2013GS4.json,2013,GS4,4b,4b,,106,orphan,49.5,true
UPSCCSEMains2013GS4.json,2013,GS4,5a,5a,,118,orphan,47.4,true
UPSCCSEMains2013GS4.json,2013,GS4,5b,5b,,100,orphan,55.4,true
UPSCCSEMains2013GS4.json,2013,GS4,6,6,66,112,orphan,51.4,true
UPSCCSEMains2013GS4.json,2013,GS4,7,7,67,155,orphan,48.7,true
UPSCCSEMains2013GS4.json,2013,GS4,8,8,68,1386,orphan,47.9,true
UPSCCSEMains2013GS4.json,2013,GS4,9,9,69,1367,orphan,45.4,true
UPSCCSEMains2013GS4.json,2013,GS4,10,10,70,1452,orphan,45.9,true
UPSCCSEMains2013GS4.json,2013,GS4,11,11,71,1533,orphan,45.5,true
UPSCCSEMains2013GS4.json,2013,GS4,12,12,72,1632,orphan,45.1,true
UPSCCSEMains2013GS4.json,2013,GS4,13,13,73,1686,orphan,45.3,true
UPSCCSEMains2014ALL.json,2014,GS1,1,1,1,140,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,2,2,2,72,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,3,3,3,210,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,4,4,4,106,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,5,5,5,172,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,6,6,6,142,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,7,7,7,116,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,8,8,8,101,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,9,9,9,101,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,10,10,10,90,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,11,11,11,92,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,12,12,12,110,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,13,13,13,83,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,14,14,14,117,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,15,15,15,125,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,16,16,16,130,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,17,17,17,119,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,18,18,18,135,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,19,19,19,115,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS1,20,20,20,119,unverifiable,,true
UPSCCSEMains2014ALL.json,2014,GS2,21,1,21,174,orphan,82.8,true
UPSCCSEMains2014ALL.json,2014,GS2,22,2,22,141,orphan,50.0,true
UPSCCSEMains2014ALL.json,2014,GS2,23,3,23,140,orphan,47.1,true
UPSCCSEMains2014ALL.json,2014,GS2,24,4,24,117,orphan,51.8,true
UPSCCSEMains2014ALL.json,2014,GS2,25,5,25,134,orphan,54.1,true
UPSCCSEMains2014ALL.json,2014,GS2,26,6,26,131,orphan,48.8,true
